geoid10,lon,lat,Pop2014,Pov14,community
17031420200,       -87.5935153,        41.7834579,1707,380,42
17031420300,       -87.5986976,        41.7832244,2275,447,42
17031440600,       -87.6191607,        41.7326911,2056,420,44
17031440800,       -87.6033279,        41.7317123,1777,804,44
17031440900,       -87.6090058,        41.7286691,2480,343,44
17031450300,       -87.5790893,        41.7419438,3716,669,45
17031671900,       -87.6612804,        41.7613257,1313,265,67
17031672000,       -87.6711282,        41.7611984,4148,523,67
17031680600,       -87.6521646,        41.7832808,1594,904,68
17031680900,       -87.6376322,        41.7764282,3389,1690,68
17031681000,       -87.6495529,        41.7760396,2873,1612,68
17031240200,       -87.6701822,        41.9124419,1469,149,24
17031240300,       -87.6750718,        41.9123664,1402,58,24
17031200200,       -87.7356285,        41.9278524,4968,928,20
17031410500,       -87.6037453,        41.7978267,2630,717,41
17031410600,       -87.5989457,        41.7979713,2365,703,41
17031170100,       -87.7948171,        41.9558597,1871,214,17
17031170200,       -87.7815193,        41.9493531,4366,465,17
17031170300,       -87.7968278,        41.9491247,4918,733,17
17031170500,       -87.8288962,        41.9500781,4888,309,17
17031351400,       -87.6240873,        41.8273997,1551,992,35
17031381200,       -87.6139995,        41.8085116,1946,344,38
17031381400,       -87.6214304,        41.8076205,1746,615,38
17031381800,       -87.6211977,        41.8038481,1102,338,38
17031390100,       -87.5906302,        41.8138433,1386,130,39
17031430400,       -87.5903215,        41.7621777,3119,1487,43
17031430500,       -87.5812727,        41.7642837,3661,1481,43
17031430600,       -87.5713749,        41.7643855,1742,425,43
17031230700,       -87.7215392,        41.9063397,5177,1217,23
17031230900,       -87.7103555,        41.9067178,5155,2036,23
17031231200,       -87.7213146,        41.8990610,5102,2385,23
17031170700,       -87.8221634,        41.9414863,2831,490,17
17031170800,       -87.8123711,        41.9415761,3750,401,17
17031171100,       -87.7812864,        41.9420528,4257,496,17
17031190100,       -87.7443886,        41.9352175,2720,807,19
17031390400,       -87.6040595,        41.8059250,2524,909,39
17031242200,       -87.6747175,        41.8995887,3875,536,24
17031200300,       -87.7341247,        41.9234797,2401,733,20
17031210400,       -87.7302982,        41.9357582,3128,702,21
17031210700,       -87.7038402,        41.9357030,3978,490,21
17031210800,       -87.6989320,        41.9357449,1028,148,21
17031210900,       -87.6933374,        41.9354394,3223,524,21
17031220300,       -87.6950871,        41.9284651,2409,275,22
