id,x,y,id
261117525,-87.5627376,41.7590405,261117525
261117527,-87.5641171,41.7626472,261117527
261117528,-87.5632378,41.7608479,261117528
261117529,-87.5631572,41.7598808,261117529
261117530,-87.5631341,41.759037,261117530
261118281,-87.6172249,41.8220765,261118281
261118283,-87.6171565,41.8202343,261118283
261118284,-87.6170979,41.8184442,261118284
261118285,-87.6170547,41.8166328,261118285
261118286,-87.6170118,41.814829,261118286
261118287,-87.616959,41.8130107,261118287
261118288,-87.6169252,41.8111958,261118288
261118290,-87.6168819,41.8093779,261118290
261118291,-87.616839,41.807566,261118291
261118292,-87.6167956,41.8057445,261118292
261118293,-87.6167522,41.8039197,261118293
261118294,-87.616644,41.8021043,261118294
261118295,-87.617075,41.827489,261118295
261118296,-87.6170366,41.8256545,261118296
261118298,-87.6173131,41.827487,261118298
261118299,-87.6172695,41.8256534,261118299
261118303,-87.6168983,41.8202379,261118303
261118304,-87.6168504,41.818448,261118304
261118305,-87.6167988,41.8166367,261118305
261118306,-87.6167362,41.8148332,261118306
261118307,-87.6166948,41.8130151,261118307
261118308,-87.6166357,41.8112002,261118308
261118310,-87.6165926,41.8093834,261118310
261118311,-87.616549,41.8075697,261118311
261118313,-87.6165047,41.8057495,261118313
261118314,-87.6164556,41.803924,261118314
261118805,-87.633631,41.8191028,261118805
261118806,-87.6336046,41.8181843,261118806
261118807,-87.6335787,41.8172789,261118807
261118808,-87.6335533,41.816395,261118808
261118809,-87.6335483,41.815482,261118809
261118810,-87.6334994,41.8137202,261118810
261118811,-87.6334661,41.8125195,261118811
261118812,-87.6334442,41.8117285,261118812
261118813,-87.6334237,41.8109927,261118813
261118814,-87.6334035,41.8102645,261118814
261118815,-87.6333922,41.809856,261118815
261118817,-87.6332951,41.8060513,261118817
261118818,-87.6332348,41.8036364,261118818
261118819,-87.6331891,41.8018031,261118819
261118820,-87.6331667,41.8009077,261118820
261118821,-87.6331441,41.8000016,261118821
261118822,-87.6331214,41.7990903,261118822
261118823,-87.6330987,41.798181,261118823
261118826,-87.632907,41.7908838,261118826
261118827,-87.6328508,41.7888514,261118827
261118828,-87.6328057,41.7872176,261118828
261118829,-87.6327852,41.7863381,261118829
261118830,-87.6327638,41.7854206,261118830
261118831,-87.6327423,41.7844993,261118831
261118833,-87.6327212,41.7835932,261118833
261118836,-87.6326756,41.7816388,261118836
261118837,-87.6326558,41.7807908,261118837
261118838,-87.6326359,41.7799372,261118838
261118870,-87.6322693,41.7672252,261118870
261118871,-87.6322423,41.7663137,261118871
261118872,-87.6322157,41.7653997,261118872
261118873,-87.6321674,41.7635791,261118873
261118874,-87.6321298,41.7617595,261118874
261118875,-87.6320869,41.7599453,261118875
261118876,-87.6320487,41.7581224,261118876
261118877,-87.6332268,41.8236343,261118877
261118879,-87.6331659,41.8208126,261118879
261118880,-87.6333091,41.8191088,261118880
261118887,-87.6338463,41.827272,261118887
261118890,-87.6338122,41.8254617,261118890
261118893,-87.6337565,41.823626,261118893
