,BLOCKID10,POP10,CE01_2014,long,lat
54674,170311801002002,59,3,-87.7927858,41.933643100000005
54675,170311906013016,115,9,-87.7755063,41.9265743
54676,170311904012033,113,7,-87.77901609999999,41.9312985
54677,170311904012034,82,10,-87.7826507,41.931280799999996
54678,170311103004017,36,1,-87.7864232,41.9729237
54679,170311007002007,32,4,-87.794875,41.974467100000005
54680,170311504013000,232,10,-87.7749687,41.9681343
54681,170311103003017,47,3,-87.7848977,41.9745861
54682,170311104002015,13,4,-87.7776972,41.9687579
54683,170311801001006,57,8,-87.7915747,41.93717720000001
54684,170311710003022,0,-1,-87.7975053,41.9384279
54685,170311506004014,64,7,-87.77543349999999,41.949654100000004
54686,170311505022015,43,0,-87.77731779999999,41.9533506
54687,170311711001011,62,4,-87.77765450000001,41.9441565
54688,170311006002018,28,12,-87.7960301,41.9777507
54692,170310902004014,179,20,-87.8200883,42.0055909
54693,170311006002024,6,1,-87.7935997,41.9774265
54721,170311908002013,117,12,-87.7500869,41.926278
54722,170311911002003,53,6,-87.74846490000002,41.91772879999999
54723,170311911004011,135,17,-87.7507888,41.9196089
54724,170312512001002,26,4,-87.76437440000001,41.901459100000004
54725,170312507002007,19,0,-87.757379,41.9051743
54726,170312503002017,32,2,-87.7563007,41.909725200000004
54727,170312507001008,154,9,-87.7580597,41.9067567
54729,170311508004002,138,9,-87.7558357,41.949895399999996
54730,170311503003006,41,5,-87.7609896,41.9580415
54731,170311904022005,93,26,-87.7696778,41.9339667
54732,170311904022003,72,5,-87.7684624,41.933985
54733,170311511003011,85,4,-87.7628728,41.9397686
54734,170310901001014,29,6,-87.8123532,42.017692100000005
54737,170311201002013,60,6,-87.7746949,42.002113200000004
54738,170311201003011,82,8,-87.77817850000001,42.0037373
54739,170311103001003,0,-1,-87.78285670000001,41.9812849
54766,170311906022034,0,-1,-87.7666135,41.924332799999995
54767,170312503004003,91,5,-87.76283570000001,41.913723299999994
54768,170312503001019,51,8,-87.7600953,41.9133275
54769,170312503001010,30,23,-87.7591931,41.915248299999995
54771,170311504014020,43,3,-87.7727735,41.960648600000006
54772,170311104002005,92,6,-87.7708685,41.9704926
54773,170311104002009,46,19,-87.77434720000001,41.9709815
54774,170311104003013,32,1,-87.77641059999999,41.9729201
54783,170311710005014,54,4,-87.8029495,41.944199100000006
54784,170311710004017,54,4,-87.7980575,41.944295000000004
54785,170311003001016,31,2,-87.7970642,41.983919
54786,170311003003011,27,0,-87.7994798,41.987487200000004
54801,170311103003002,62,18,-87.7806209,41.9765765
54802,170311506001020,35,2,-87.76840849999999,41.949737400000004
54803,170311504022003,138,13,-87.7741138,41.9558236
54804,170311506002014,43,7,-87.7683301,41.947006
54865,170312513005001,61,4,-87.7738223,41.9011115
54906,170311503001005,22,1,-87.7622773,41.9668148
54907,170311503002001,50,4,-87.75859990000001,41.9627875
54908,170311504023026,41,8,-87.7692934,41.957718
54909,170311503005012,0,-1,-87.766829,41.957291399999995
54910,170311504023024,40,2,-87.76806359999999,41.9577309
54911,170311512002016,113,56,-87.768052,41.93969129999999
54912,170311511004009,135,9,-87.7630108,41.9443239
54913,170311002001010,39,4,-87.79477059999999,41.9998253
54915,170310901002002,39,3,-87.8081197,42.0143922
54916,170311101002007,98,11,-87.773896,41.9838814
54917,170311105012004,57,7,-87.7681011,41.9802247
54926,170311710005023,36,7,-87.8021816,41.9392049
