,Other Health Providers,Federally Qualified Health Centers,All Free Health Clinics,Hospitals,School-Based Health Centers
170310106003010,1.0,2.0,0.0,1.0,2.0
170310106003011,1.0,2.0,0.0,1.0,2.0
170310106003012,1.0,2.0,0.0,1.0,2.0
170310106004000,1.0,5.0,0.0,0.0,1.0
170310106004001,1.0,5.0,0.0,0.0,1.0
170310106004002,1.0,5.0,0.0,0.0,1.0
170310106004003,1.0,5.0,0.0,0.0,1.0
170310106004004,1.0,5.0,0.0,0.0,1.0
170310106004005,1.0,5.0,0.0,1.0,1.0
170310106004006,1.0,5.0,0.0,1.0,1.0
170310106004007,1.0,5.0,0.0,0.0,1.0
170310106004008,1.0,5.0,0.0,0.0,1.0
170310106004009,1.0,5.0,0.0,0.0,1.0
170310106004010,1.0,5.0,0.0,0.0,1.0
170310106004011,1.0,5.0,0.0,0.0,1.0
170310106004012,1.0,5.0,0.0,1.0,1.0
170310106004013,1.0,5.0,0.0,1.0,1.0
170310106004014,1.0,5.0,0.0,0.0,1.0
170310107011000,1.0,5.0,0.0,1.0,1.0
170310107011001,1.0,5.0,0.0,1.0,1.0
170310107011002,1.0,5.0,0.0,1.0,1.0
170310107011003,1.0,5.0,0.0,1.0,1.0
170310107011004,1.0,5.0,0.0,1.0,1.0
170310107011005,1.0,5.0,0.0,1.0,1.0
170310107011006,1.0,5.0,0.0,0.0,1.0
170310107011007,1.0,5.0,0.0,0.0,1.0
170310107011008,1.0,5.0,1.0,0.0,1.0
170310107011009,1.0,5.0,0.0,0.0,1.0
170310107011010,1.0,5.0,1.0,1.0,1.0
170310107011011,1.0,5.0,1.0,1.0,1.0
170310107011012,1.0,5.0,1.0,1.0,1.0
170310107011013,1.0,5.0,0.0,0.0,1.0
170310107011014,1.0,6.0,1.0,1.0,1.0
170310107011015,1.0,6.0,1.0,1.0,1.0
170310107011016,1.0,6.0,1.0,1.0,1.0
170310107011017,1.0,6.0,1.0,1.0,1.0
170310107012000,1.0,4.0,0.0,1.0,1.0
170310107012001,1.0,4.0,0.0,1.0,1.0
170310107012002,0.0,4.0,0.0,1.0,1.0
170310107012003,1.0,4.0,0.0,1.0,1.0
170310107012004,1.0,5.0,0.0,1.0,1.0
170310107012005,1.0,4.0,0.0,1.0,1.0
170310107012006,1.0,4.0,0.0,1.0,1.0
170310107012007,1.0,4.0,0.0,1.0,1.0
170310107012008,1.0,4.0,0.0,1.0,1.0
170310107012009,1.0,4.0,0.0,1.0,1.0
170310107012010,1.0,5.0,0.0,1.0,1.0
170310107012011,1.0,5.0,0.0,1.0,1.0
170310107012012,1.0,5.0,0.0,1.0,1.0
170310107012013,1.0,4.0,0.0,1.0,1.0
170310107012014,1.0,4.0,0.0,1.0,1.0
170310107012015,1.0,5.0,0.0,1.0,1.0
170310107012016,1.0,5.0,0.0,1.0,1.0
170310107012017,1.0,4.0,0.0,1.0,1.0
170310107012018,1.0,5.0,0.0,0.0,1.0
170310107021000,1.0,5.0,0.0,0.0,1.0
170310107021001,1.0,5.0,0.0,1.0,1.0
170310107021002,1.0,5.0,0.0,1.0,1.0
170310107021003,1.0,5.0,0.0,1.0,1.0
170310107021004,1.0,5.0,0.0,1.0,1.0
170310107021005,1.0,5.0,0.0,0.0,1.0
170310107021006,1.0,5.0,0.0,0.0,1.0
170310107021007,1.0,5.0,0.0,0.0,1.0
170310107021008,1.0,5.0,0.0,0.0,1.0
170310107021009,1.0,5.0,0.0,1.0,1.0
170310107021010,1.0,5.0,0.0,1.0,1.0
170310107021011,1.0,5.0,0.0,0.0,1.0
170310107021012,1.0,5.0,0.0,0.0,1.0
170310107022000,1.0,5.0,0.0,0.0,1.0
170310107022001,1.0,5.0,0.0,0.0,1.0
170310107022002,1.0,5.0,0.0,0.0,1.0
170310107022003,1.0,5.0,0.0,0.0,1.0
170310107022004,1.0,5.0,0.0,0.0,1.0
170310107022005,1.0,5.0,0.0,0.0,1.0
170310107022006,1.0,5.0,0.0,0.0,1.0
170310107022007,1.0,5.0,0.0,0.0,1.0
170310107022008,1.0,5.0,0.0,0.0,1.0
170310107022009,1.0,5.0,0.0,0.0,1.0
170310107023000,1.0,5.0,0.0,0.0,1.0
170310107023001,1.0,5.0,0.0,0.0,1.0
170310107023002,1.0,5.0,0.0,0.0,1.0
170310107023003,1.0,5.0,0.0,0.0,1.0
170310107023004,1.0,5.0,0.0,0.0,1.0
170310107023005,1.0,5.0,0.0,0.0,2.0
170310107023006,1.0,5.0,0.0,0.0,2.0
170310107023007,1.0,5.0,0.0,0.0,2.0
170310107023008,1.0,5.0,0.0,0.0,2.0
170310107023009,1.0,5.0,0.0,0.0,2.0
170310107024000,1.0,5.0,0.0,1.0,1.0
170310107024001,1.0,5.0,0.0,1.0,1.0
170310107024002,1.0,5.0,0.0,1.0,1.0
170310107024003,1.0,5.0,0.0,1.0,1.0
170310107024004,1.0,5.0,0.0,1.0,1.0
170310107024005,1.0,5.0,0.0,1.0,1.0
170310201001000,0.0,3.0,0.0,1.0,0.0
170310201001001,0.0,3.0,0.0,1.0,0.0
170310201001002,0.0,3.0,0.0,1.0,0.0
170310201001003,0.0,3.0,0.0,1.0,0.0
170310201001004,0.0,4.0,0.0,1.0,0.0
170310201001005,0.0,4.0,0.0,1.0,0.0
170310201001006,0.0,4.0,0.0,1.0,0.0
170310201001007,0.0,4.0,0.0,1.0,0.0
170310201001008,0.0,4.0,0.0,1.0,0.0
170310201001009,0.0,4.0,0.0,1.0,0.0
170310201001010,0.0,4.0,0.0,1.0,0.0
170310201001011,0.0,4.0,0.0,1.0,0.0
170310201001012,0.0,4.0,0.0,1.0,0.0
170310201001013,0.0,4.0,0.0,1.0,0.0
170310201001014,0.0,4.0,0.0,1.0,0.0
170310201001015,0.0,4.0,0.0,1.0,0.0
170310201001016,0.0,4.0,1.0,1.0,0.0
170310201001017,0.0,4.0,1.0,1.0,0.0
170310201001018,0.0,4.0,1.0,1.0,0.0
170310201001019,0.0,4.0,1.0,1.0,0.0
